Nom;Molecule;Dosage;Unite;Forme;Presentation;PPV;Remboursement
FLUMAX 6000 UI ANTI-XA/0.6ML;ENOXAPARINE;6000;UI ANTI-XA;SOLUTION INJECTABLE;1 BOITE 2 SERINGUE PREREMPLIE; 134,60   ;70%
PARAPLATINE;CARBOPLATINE;50;MG;SOLUTION POUR PERFUSION;1 FLACON 5 ML; 835,30   ;70%
TRIFAX IV;CEFTRIAXONE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 61,00   ;70%
GLUCOVANCE;METFORMINE / GLIBENCLAMIDE;500 / 2.5;MG / MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME PELLICULE; 42,00   ;70%
IXOR;OMEPRAZOLE;10;MG;COMPRIME EFFERVESCENT;1 BOITE 28 COMPRIME; 108,00   ;70%
PENICILLINE G 1 M UI DIAMANT;BENZYLPENICILLINE;1;MUI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 10,30   ;70%
DIPRIVAN;PROPOFOL;500;MG;EMULSION INJECTABLE;1 BOITE 1 KIT; 314,90   ;0%
NEORAL;CICLOSPORINE;100;MG;SOLUTION BUVABLE;1 FLACON 50 ML; 1 736,00   ;70%
XANTHIUM LP;THEOPHYLLINE;200;MG;GELULE LP;1 BOITE 30 GELULE; 21,80   ;70%
AGIDERM;ACIDE FUSIDIQUE;2;%;POMMADE;1 TUBE 15 G; 25,00   ;70%
GYNO CANESTEN;CLOTRIMAZOLE;1;%;CREME VAGINALE;1 TUBE 35 G; 56,25   ;70%
CIPRO LP 500 MG;CIPROFLOXACINE;500;MG;COMPRIME PELLICULE LP;1 BOITE 3 COMPRIME PELLICULE; 60,00   ;70%
CIFLOXINE;CIPROFLOXACINE;500;MG;COMPRIME ENROBE GASTRO-RESISTANT;1 BOITE 10 COMPRIME ENROBE; 120,00   ;70%
SUPRIMASE;FLUCONAZOLE;150;MG;GELULE;1 BOITE 1 GELULE; 29,90   ;70%
MEDIVEINE;DIOSMINE;300;MG;COMPRIME PELLICULE;1 BOITE 60 COMPRIME; 62,40   ;0%
PURSENNIDE;SENOSIDES CALCIQUES;20;MG;COMPRIME ENROBE;1 BOITE 20 COMPRIME ENROBE; 16,90   ;0%
IDEOS;CALCIUM / COLECALCIFEROL (VITAMINE D3);500 / 400;MG / UI;COMPRIME A SUCER;1 BOITE 30 COMPRIME; 53,40   ;70%
NORMACOL LAVEMENT AD;PHOSPHATE MONOSODIQUE / PHOSPHATE DISODIQUE;23.66 / 10.4;G / G;SOLUTION RECTALE;1 FLACON 130 ML; 26,50   ;0%
CRESTOR;ROSUVASTATINE;5;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 210,00   ;70%
CRESTOR;ROSUVASTATINE;5;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 210,00   ;70%
INHIBACE;CILAZAPRIL;5;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME SECABLE; 179,90   ;70%
DIAMICRON;GLICLAZIDE;80;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 37,20   ;70%
TEGRETOL;CARBAMAZEPINE;200;MG;COMPRIME SECABLE;1 BOITE 50 COMPRIME SECABLE; 81,10   ;70%
ANDOL;PARACETAMOL;500;MG;COMPRIME;1 BOITE 20 COMPRIME; 10,00   ;70%
ZECLAR;CLARITHROMYCINE;250;MG;COMPRIME PELLICULE;1 BOITE 10 COMPRIME; 171,65   ;70%
OREX;CEFALEXINE;250;MG;GRANULE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 37,70   ;70%
REVLIMID 25 MG;LENALIDOMIDE;25;MG;GELULE;1 BOITE 21 GELULE; -     ;0%
FENAC;DICLOFENAC;50;MG;COMPRIME GASTRO-RESISTANT;1 BOITE 30 COMPRIME GASTRO-RESISTANT; 44,10   ;70%
LIPISTAT;SIMVASTATINE;40;MG;COMPRIME ENROBE;1 BOITE 28 COMPRIME ENROBE; 232,00   ;70%
LIPISTAT;SIMVASTATINE;40;MG;COMPRIME ENROBE;1 BOITE 28 COMPRIME ENROBE; 232,00   ;70%
CALCIBRONAT;BROMOGALACTOGLUCONATE DE CALCIUM;13.3;%;SIROP;1 FLACON 200 ML; 26,40   ;0%
VITA C 1000;ACIDE ASCORBIQUE (VITAMINE C);1;G;COMPRIME EFFERVESCENT;1 BOITE 20 COMPRIME EFFERVESCENT; 27,70   ;0%
DUPHALAC;LACTULOSE;66.5;%;SOLUTION BUVABLE;1 FLACON 200 ML; 49,35   ;0%
CIALIS;TADALAFIL;20;MG;COMPRIME PELLICULE;1 BOITE 4 COMPRIME PELLICULE; 440,00   ;0%
EPHEDRYL;PARACETAMOL / TRIPROLIDINE;2.5 / 25;G / MG;SOLUTION BUVABLE;1 FLACON 100 ML; 17,85   ;0%
ECLARAN;PEROXYDE DE BENZOYLE;5;%;GEL;1 TUBE 45 G; 31,45   ;0%
COQUELUSEDAL NOURRISSON;NIAOULI / GRINDELIA / GELSEMIUM;10/10/5;MG / MG / MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 11,40   ;0%
NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE;NICOTINE;1.5;MG;PASTILLE A SUCER;1 BOITE 36 PASTILLE; 120,40   ;0%
MICROPAKINE LP 100 MG;VALPROATE DE SODIUM;100;MG;GRANULE LP;1 BOITE 30 SACHET; 39,60   ;0%
MICROPAKINE LP 100 MG;VALPROATE DE SODIUM;100;MG;GRANULE LP;1 BOITE 30 SACHET; 39,60   ;0%
CYTARABINE EBEWE;CYTARABINE;100;MG;SOLUTION POUR PERFUSION;1 FLACON 5 ML; 42,00   ;70%
FLEET PHOSPHO-SODA;HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE;10.8 / 24.4;G / G;SOLUTION BUVABLE;2 FLACON 45 ML; 128,00   ;0%
NEOMOX;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 28,00   ;70%
ANEXATE 0.5 MG / 5 ML;FLUMAZENIL;0.5;MG;SOLUTION INJECTABLE;1 BOITE 5 AMPOULE INJECTABLE; 1 079,00   ;0%
RECOFOL;PROPOFOL;10;MG;EMULSION INJECTABLE;1 FLACON 50 ML; -     ;0%
TOBRADEX;TOBRAMYCINE / DEXAMETHASONE;3 / 1;MG / MG;POMMADE OPHTALMIQUE;1 TUBE 3.5 G; 60,00   ;0%
BAITANET G;POLYVIDONE IODEE;10;%;SOLUTION GYNECOLOGIQUE;1 FLACON 550 ML; 41,00   ;0%
CARDIX;CARVEDILOL;6.25;MG;COMPRIME SECABLE;1 BOITE 28 COMPRIME; 44,00   ;70%
CLARELUX 500 µG;PROPIONATE DE CLOBETASOL;500;µG;MOUSSE;1 FLACON 100 G; 165,90   ;0%
BISOLVON;BROMHEXINE;0.2;%;SOLUTION BUVABLE;1 FLACON 60 ML; 18,30   ;0%
ANAFRANIL;CLOMIPRAMINE;25;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME ENROBE; 47,90   ;70%
AROMASINE;EXEMESTANE;25;MG;COMPRIME ENROBE;1 BOITE 30 COMPRIME; 969,00   ;70%
CLARADOL PLUS;PARACETAMOL / PROPYPHENAZONE;250 / 150;MG / MG;COMPRIME;1 BOITE 10 COMPRIME; 17,25   ;0%
VANTEC;CETIRIZINE;10;MG;COMPRIME ENROBE SECABLE;1 BOITE 30 COMPRIME ENROBE; 37,70   ;70%
VANTEC;CETIRIZINE;10;MG;COMPRIME ENROBE SECABLE;1 BOITE 30 COMPRIME ENROBE; 37,70   ;70%
CEFOTRIM;CEFTRIAXONE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 61,00   ;70%
ACIVIR;ACICLOVIR;0.1;G;CREME;1 TUBE 2 G; 25,00   ;0%
MADECASSOL;CENTELLA ASIATICA;1;%;POMMADE;1 TUBE 10 G; 24,00   ;0%
MITOSYL IRRITATIONS;FOIE DE POISSON / ZINC;13 / 17.55;G / G;POMMADE;1 TUBE 65 G; 17,25   ;0%
PANOXYL;PEROXYDE DE BENZOYLE;5;%;GEL;1 TUBE 40 G; 40,20   ;0%
MICROVAL;LEVONORGESTREL;0.03;MG;COMPRIME ENROBE;1 BOITE 28 COMPRIME; 13,95   ;0%
LAMICTAL;LAMOTRIGINE;5;MG;COMPRIME DISPERSIBLE;1 BOITE 30 COMPRIME; 41,20   ;70%
GYNERGENE CAFEINE;ERGOTAMINE / CAFEINE;1 / 100;MG / MG;COMPRIME;1 BOITE 20 COMPRIME; 41,80   ;0%
ADRENALINE 0,50 MG;EPINEPHRINE;0.5;MG;SOLUTION INJECTABLE;1 BOITE 10 AMPOULE INJECTABLE; 20,60   ;70%
SPASMOPRIV;MEBEVERINE;200;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 44,90   ;70%
COVERSYL;PERINDOPRIL;4;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 232,40   ;70%
ZOMIG;ZOLMITRIPTAN;2.5;MG;COMPRIME PELLICULE;1 BOITE 6 COMPRIME; 323,00   ;70%
GENHEVAC B;VACCIN ANTI-HEPATITE B;;NA;POUDRE POUR SUSPENSION INJECTABLE;1 BOITE 1 SERINGUE PREREMPLIE; 148,40   ;70%
DIMAZOL;CARBIMAZOLE;10;MG;COMPRIME;1 BOITE 100 COMPRIME; 88,00   ;0%
DIMAZOL;CARBIMAZOLE;10;MG;COMPRIME;1 BOITE 100 COMPRIME; 88,00   ;0%
LUMIGAN 0.3MG/ML;BIMATOPROST;0.3;MG;COLLYRE;1 FLACON 3 ML; 230,00   ;0%
MOSCONTIN;MORPHINE;60;MG;COMPRIME LP;1 BOITE 14 COMPRIME; 209,00   ;70%
PENAMOX;AMOXICILLINE;500;MG;GELULE;1 BOITE 12 GELULE; 52,50   ;70%
GENTOSYL;GENTAMICINE;40;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 12,80   ;70%
CIPROFLOXACINE WIN 250 MG;CIPROFLOXACINE;250;MG;COMPRIME PELLICULE;1 BOITE 20 COMPRIME PELLICULE; 63,40   ;70%
PAROXETINE GT 20 MG;PAROXETINE;20;MG;COMPRIME PELLICULE;1 FLACON 10 COMPRIME PELLICULE; 63,00   ;70%
PARAPSYLLIUM;TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE;33.33 / 33.33;G / G;POUDRE POUR SUSPENSION BUVABLE;1 BOITE 1 FLACON; 37,55   ;0%
ZOLOFT;SERTRALINE;50;MG;GELULE;1 BOITE 15 GELULE; 71,00   ;70%
SEROHALE 50 µG;SALMETEROL / FLUTICASONE;25 / 50;µG / µG;SUSPENSION POUR INHALATION BUCCALE;1 FLACON 120 DOSE; 123,00   ;70%
SEROHALE 50 µG;SALMETEROL / FLUTICASONE;25 / 50;µG / µG;SUSPENSION POUR INHALATION BUCCALE;1 FLACON 120 DOSE; 123,00   ;70%
ZOMETA;ACIDE ZOLEDRONIQUE;4;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; 2 689,00   ;70%
BUTAMYL;SALBUTAMOL;1;MG;SUPPOSITOIRE;1 BOITE 12 SUPPOSITOIRE; 30,60   ;70%
ANTISTAPH / PENISTAPH;FLUCLOXACILLINE;500;MG;GELULE;1 BOITE 24 GELULE; 89,90   ;70%
TOTAPEN;AMPICILLINE;1;G;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 8 FLACON; 51,80   ;70%
BRONCOTEC;FORMOTEROL;12;µG;GELULE INHALEE;1 BOITE 30 GELULE; 123,80   ;70%
AMOXIL;AMOXICILLINE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 12,20   ;70%
CEBESINE;OXYBUPROCAINE;0.4;%;COLLYRE;1 FLACON 10 ML; 23,00   ;0%
CHEMOSET;ONDANSETRON;8;MG;COMPRIME PELLICULE;1 BOITE 1 COMPRIME PELLICULE; 39,00   ;70%
ZOFRAN;ONDANSETRON;8;MG;SOLUTION INJECTABLE;1 BOITE 5 AMPOULE INJECTABLE; 1 404,60   ;70%
METROZAL;METRONIDAZOLE;500;MG;OVULE;1 BOITE 10 OVULE; 28,00   ;70%
TRE-ZEN 20 MG;PAROXETINE;20;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME SECABLE; 130,20   ;70%
ULTRAVIST;IOPROMIDE;370;MG;SOLUTION INJECTABLE;1 FLACON 100 ML; 667,60   ;0%
AMOXIL;AMOXICILLINE;500;MG;COMPRIME DISPERSIBLE;1 BOITE 12 COMPRIME; 34,60   ;70%
OESTRODOSE;ESTRADIOL;0.06;%;GEL;1 FLACON 80 G; 86,00   ;0%
OESTRODOSE;ESTRADIOL;0.06;%;GEL;1 FLACON 80 G; 86,00   ;0%
SPIRIVA;TIOTROPIUM;18;µG;GELULE INHALEE;1 BOITE 30 GELULE; 571,00   ;70%
SPIRIVA;TIOTROPIUM;18;µG;GELULE INHALEE;1 BOITE 30 GELULE; 571,00   ;70%
VITRIMIX KV *;MULTIPLE;;NA;PREPARATION INJECTABLE POUR PERFUSION;1 BOITE 2 FLACON; 391,90   ;0%
NOCOL;SIMVASTATINE;40;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 198,00   ;70%
DISPAMOX 250 MG;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 18,00   ;70%
INTRONA;INTERFERON ALFA-2B;18;MUI;SOLUTION INJECTABLE;1 STYLO 1.5 ML; -     ;70%
AZITHRIX;AZITHROMYCINE;200;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 30 ML; 99,00   ;70%
AZIX;AZITHROMYCINE;500;MG;COMPRIME PELLICULE;1 BOITE 3 COMPRIME; 79,70   ;70%
SYNNAX;LAMOTRIGINE;5;MG;COMPRIME DISPERSIBLE;1 BOITE 30 COMPRIME; 41,20   ;70%
SYNNAX;LAMOTRIGINE;5;MG;COMPRIME DISPERSIBLE;1 BOITE 30 COMPRIME; 41,20   ;70%
NOZINAN;LEVOMEPROMAZINE;25;MG;COMPRIME PELLICULE SECABLE;1 BOITE 20 COMPRIME; 16,20   ;70%
STILNOX CR;ZOLPIDEM;12.5;MG;COMPRIME PELLICULE SECABLE;1 BOITE 28 COMPRIME PELLICULE; 122,00   ;70%
STILNOX CR;ZOLPIDEM;12.5;MG;COMPRIME PELLICULE SECABLE;1 BOITE 28 COMPRIME PELLICULE; 122,00   ;70%
RAZON 40 MG;PANTOPRAZOLE;40;MG;COMPRIME ENROBE GASTRO-RESISTANT;1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT; 180,00   ;0%
ORGALUTRAN;GANIRELIX;0.25;MG;SOLUTION INJECTABLE;1 BOITE 1 AMPOULE INJECTABLE; 512,60   ;0%
XALATAN;LATANOPROST;0.005;%;COLLYRE;1 FLACON 2.5 ML; 157,00   ;70%
CEFTAJECT I.M 500 MG/2ML;CEFTRIAXONE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 55,00   ;70%
CEFTAJECT I.M 500 MG/2ML;CEFTRIAXONE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON + AMPOULE; 55,00   ;70%
GLIDIABET;GLIBENCLAMIDE;5;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 25,70   ;70%
OSCILLOCCINUM;SOUCHE HOMEOPATHIQUE;;NA;GLOBULE;1 BOITE 6 DOSE GLOBULE; 71,50   ;0%
THIAZILIX;INDAPAMIDE;2.5;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 50,00   ;70%
BISPIRAZOLE;SPIRAMYCINE / METRONIDAZOLE;1.5 / 250;MUI / MG;COMPRIME ENROBE;1 BOITE 15 COMPRIME; 79,90   ;70%
LACIPIL;LACIDIPINE;2;MG;COMPRIME ENROBE;1 BOITE 14 COMPRIME; 75,00   ;70%
RETROVIR;ZIDOVUDINE;50;MG;SOLUTION BUVABLE;1 FLACON 200 ML; 302,00   ;70%
OKA-ETOPOSIDE;ETOPOSIDE;100;MG;SOLUTION A DILUER POUR PERFUSION;1 BOITE 1 FLACON; 126,00   ;70%
ORADEXON;DEXAMETHASONE;0.5;MG;COMPRIME SECABLE;1 BOITE 20 COMPRIME; 14,30   ;70%
NEOFORTAN 40MG;PHLOROGLUCINOL;40;MG;COMPRIME EFFERVESCENT;1 TUBE 10 COMPRIME EFFERVESCENT; 40,00   ;0%
DIALYSE PERITONEALE BIEFFE FORMULE 55;CONCENTRE POUR DIALYSE PERITONEALE;;NA;SOLUTION POUR DIALYSE PERITONEALE;1 POCHE 2 L; 82,60   ;70%
UN-ALFA 1 µG;ALFACALCIDOL;1;µG;CAPSULE;1 BOITE 30 CAPSULE; 172,20   ;70%
UN-ALFA 1 µG;ALFACALCIDOL;1;µG;CAPSULE;1 BOITE 30 CAPSULE; 172,20   ;70%
PENAMOX;AMOXICILLINE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 11,50   ;70%
IMIZINE 10%;METRONIDAZOLE;10;%;PATE DENTAIRE;1 TUBE 4.5 G; 360,00   ;0%
TRUSOPT;DORZOLAMIDE;2;%;COLLYRE;1 FLACON 5 ML; 104,40   ;70%
ZOLADEX 10.8 MG;GOSERELINE;10.8;MG;IMPLANT INJECTABLE;1 KIT 1 IMPLANT INJECTABLE; 3 340,00   ;70%
MEDIVEINE;DIOSMINE;600;MG;COMPRIME PELLICULE;1 BOITE 30 COMPRIME; 60,00   ;0%
ZANTAC;RANITIDINE;75;MG;COMPRIME EFFERVESCENT;1 BOITE 12 COMPRIME; 50,70   ;70%
QUIETUDE;SOUCHE HOMEOPATHIQUE;;NA;SIROP;1 FLACON 200 ML; 47,00   ;0%
RECOFOL;PROPOFOL;10;MG;EMULSION INJECTABLE;1 BOITE 5 AMPOULE INJECTABLE; -     ;0%
NICOPATCH;NICOTINE;14;MG;DISPOSITIF TRANSDERMIQUE;1 BOITE 7 PATCH; 250,00   ;0%
NICOPATCH;NICOTINE;21;MG;DISPOSITIF TRANSDERMIQUE;1 BOITE 28 PATCH; 940,00   ;0%
HIBOR 10000 UI ANTI XA;BEMIPARINE;10000;UI;SOLUTION INJECTABLE;1 BOITE 10 SERINGUE PREREMPLIE; 1 730,90   ;0%
PANFUREX;NIFUROXAZIDE;4;%;SUSPENSION BUVABLE;1 FLACON 90 ML; 20,00   ;70%
CEFTRIAXONE MYLAN IV 500 MG/5 ML;CEFTRIAXONE;500;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 64,00   ;70%
CARDINOR;CARVEDILOL;6.25;MG;COMPRIME;1 BOITE 30 COMPRIME; 47,00   ;70%
CARDINOR;CARVEDILOL;6.25;MG;COMPRIME;1 BOITE 30 COMPRIME; 47,00   ;70%
AMUCHIN 10;CHLOROXYDANT / ELECTROLYTIQUE;0.11 / 1.8;G / G;SOLUTION POUR APPLICATION LOCALE;1 FLACON 200 ML; 19,55   ;0%
TAVANIC;LEVOFLOXACINE;500;MG;SOLUTION POUR PERFUSION;1 FLACON 100 ML; 373,00   ;70%
DAILY GÉ;LEVONORGESTREL / ETHINYLESTRADIOL;0.05 / 0.03;MG / MG;COMPRIME ENROBE;1 BOITE 63 COMPRIME ENROBE; 54,60   ;0%
CIPROFLOXACINE MYLAN 200 MG/100 ML;CIPROFLOXACINE;200;MG;SOLUTION POUR PERFUSION;10 POCHE 100 ML; 854,00   ;70%
RHINATHIOL ENFANT ET NOURRISSON;CARBOCYSTEINE;2;%;SIROP;1 FLACON 125 ML; 18,55   ;0%
FOLINATE DE CALCIUM AGUETTANT 50 MG;FOLINATE DE CALCIUM;50;MG;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 10 FLACON; 677,00   ;70%
R.O.R / TRIMOVAX;VACCIN R.O.R;;NA;POUDRE POUR SUSPENSION INJECTABLE;1 SERINGUE .5 ML; 117,00   ;70%
SOLIAN 100 MG/ML;AMISULPRIDE;100;MG/ML;SOLUTION BUVABLE;1 FLACON 60 ML; 367,40   ;0%
SOLIAN 100 MG/ML;AMISULPRIDE;100;MG/ML;SOLUTION BUVABLE;1 FLACON 60 ML; 367,40   ;0%
ZILDAM;PIROXICAM;20;MG;SUPPOSITOIRE;1 BOITE 10 SUPPOSITOIRE; 35,70   ;70%
TAREG;VALSARTAN;80;MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 162,10   ;70%
GYNO CANESTEN;CLOTRIMAZOLE;200;MG;COMPRIME GYNECOLOGIQUE;1 BOITE 3 COMPRIME GYNECOLOGIQUE; 45,35   ;70%
HEMOPUR AC1;CONCENTRE POUR HEMODIALYSE;;NA;SOLUTION POUR HEMODIALYSE;1 BIDON 10 L; 161,40   ;70%
EQUORAL;CICLOSPORINE;50;MG;CAPSULE MOLLE;1 BOITE 30 CAPSULE; 699,00   ;70%
ACTIVAROL C100;ACIDE ASCORBIQUE (VITAMINE C) / HEMATOPORPHYRINE;100 / 0.003;MG / G;SOLUTION BUVABLE;1 BOITE 24 AMPOULE; 30,60   ;0%
PRAVATOR;PRAVASTATINE;20;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 99,10   ;70%
GONAL-F 150 UI;FOLLITROPINE ALFA;150;UI;POUDRE POUR SOLUTION INJECTABLE;1 BOITE 1 FLACON; 616,00   ;0%
A-GRAM;AMOXICILLINE;250;MG;POUDRE POUR SUSPENSION BUVABLE;1 FLACON 60 ML; 32,70   ;70%
NASACORT;TRIAMCINOLONE;55;µG;SUSPENSION POUR PULVERISATION NASALE;1 FLACON 15 ML; 107,40   ;70%
SOTALEX;SOTALOL;160;MG;COMPRIME SECABLE;1 BOITE 30 COMPRIME; 79,60   ;70%
CLIMASTON;ESTRADIOL / DYDROGESTERONE;1 / 5;MG / MG;COMPRIME PELLICULE;1 BOITE 28 COMPRIME PELLICULE; 92,00   ;0%
ACEPRIL;PERINDOPRIL;2;MG;COMPRIME;1 BOITE 28 COMPRIME; 44,00   ;70%
ACEPRIL;PERINDOPRIL;2;MG;COMPRIME;1 BOITE 28 COMPRIME; 44,00   ;70%
